epoch,loss,BinaryAccuracy,MSE,Test_loss,Test_BinaryAccuracy,Test_MSE
0,0.25045077022044887,0.48387095,0.25045076,0.24521215,0.5231481,0.24521214
1,0.23849265806136594,0.61290324,0.23849265,0.22443308,0.6712963,0.2244331
2,0.20037513899226342,0.7177419,0.20037512,0.19887784,0.7268519,0.19887784
3,0.1715327825757765,0.7580645,0.1715328,0.18787974,0.7384259,0.18787973
4,0.158938831619678,0.7983871,0.15893883,0.18622597,0.7337963,0.18622597
5,0.1469301325419257,0.82258064,0.14693014,0.19242164,0.75,0.19242164
6,0.13923512657563533,0.83064514,0.13923512,0.18296356,0.7476852,0.18296356
7,0.13559795513508782,0.82258064,0.13559796,0.1882113,0.7569444,0.1882113
8,0.13878870088486903,0.83870965,0.13878869,0.19011438,0.7523148,0.19011438
9,0.1296520848728476,0.8467742,0.12965208,0.1785764,0.75,0.17857641
10,0.125933576735758,0.86290324,0.12593357,0.18331414,0.7615741,0.18331413
11,0.12703359980256326,0.8548387,0.1270336,0.173666,0.787037,0.17366599
12,0.11782986283182137,0.87903225,0.11782986,0.17133696,0.7986111,0.17133698
13,0.11970617832435716,0.87903225,0.11970617,0.167686,0.8171296,0.167686
14,0.11128342769018584,0.87903225,0.11128344,0.17582215,0.7962963,0.17582214
15,0.1081917081028223,0.8951613,0.108191706,0.16404364,0.8078704,0.16404364
16,0.1063234387716699,0.88709676,0.10632343,0.15629852,0.8310185,0.1562985
17,0.10244049585514492,0.8951613,0.10244049,0.1512963,0.8333333,0.15129629
18,0.09522669359801277,0.8951613,0.095226705,0.14548758,0.8333333,0.14548758
19,0.08874665398991877,0.8951613,0.08874665,0.1344041,0.8310185,0.1344041
20,0.0840605095239176,0.8951613,0.084060505,0.12309844,0.8333333,0.12309844
21,0.0764430103252732,0.9032258,0.07644301,0.10830208,0.8657407,0.10830208
22,0.06672525836996013,0.91935486,0.06672526,0.09857425,0.8518519,0.09857425
23,0.058595489259929426,0.9435484,0.05859549,0.07979082,0.9027778,0.07979082
24,0.05170073578014008,0.9596774,0.051700737,0.07039975,0.912037,0.070399754
25,0.04452473255655458,0.9596774,0.04452474,0.06155723,0.9166667,0.061557237
26,0.03522861612990739,0.9677419,0.035228617,0.05922572,0.9166667,0.059225716
27,0.03083244319854965,0.9758065,0.030832447,0.0508781,0.9189815,0.050878104
28,0.026124813608945377,0.9677419,0.026124815,0.033820853,0.9884259,0.033820856
29,0.020315359172884434,0.983871,0.020315358,0.027959827,1.0,0.027959827
30,0.018095354083925486,1.0,0.018095355,0.023144059,1.0,0.023144063
31,0.014721673905789372,1.0,0.014721674,0.02148263,1.0,0.021482628
32,0.012463011010925496,1.0,0.012463012,0.017305741,1.0,0.017305741
33,0.01058659734459774,1.0,0.010586598,0.017408805,1.0,0.017408805
34,0.009652510968848102,1.0,0.009652512,0.013640834,1.0,0.013640834
35,0.008419987385071093,1.0,0.008419988,0.011750945,1.0,0.011750946
36,0.0076880637620155125,1.0,0.007688064,0.010995875,1.0,0.010995874
37,0.006865117834099839,1.0,0.006865118,0.0105196815,1.0,0.0105196815
38,0.006254027528954002,1.0,0.0062540276,0.009363401,1.0,0.009363401
39,0.00571597786244726,1.0,0.0057159783,0.008479882,1.0,0.008479882
40,0.005181879436995294,1.0,0.0051818797,0.008244365,1.0,0.008244365
41,0.0048373448455916535,1.0,0.004837346,0.007210871,1.0,0.0072108707
42,0.004530083386212467,1.0,0.004530084,0.0066590034,1.0,0.0066590034
43,0.004213314308154006,1.0,0.0042133145,0.006538404,1.0,0.0065384046
44,0.003950678623251377,1.0,0.0039506787,0.0058954367,1.0,0.005895437
45,0.003716969947075291,1.0,0.0037169696,0.005615351,1.0,0.005615351
46,0.0035079361311340282,1.0,0.003507936,0.0052949907,1.0,0.0052949903
47,0.0033180475340134673,1.0,0.0033180476,0.004968229,1.0,0.004968229
48,0.0031560508284582604,1.0,0.0031560508,0.0047966214,1.0,0.004796621
49,0.002998793500967534,1.0,0.002998794,0.0045073843,1.0,0.0045073843
50,0.002863135109955986,1.0,0.002863135,0.004325732,1.0,0.004325732
51,0.0027198691950029424,1.0,0.0027198691,0.004054558,1.0,0.004054558
52,0.002617538985495846,1.0,0.002617539,0.0039476613,1.0,0.0039476617
53,0.0024999087026733305,1.0,0.0024999084,0.0038347547,1.0,0.0038347547
54,0.002398036207582223,1.0,0.0023980362,0.003689156,1.0,0.0036891557
55,0.00230475657078768,1.0,0.0023047565,0.0036091115,1.0,0.0036091115
56,0.0022252521457924177,1.0,0.002225252,0.0034202544,1.0,0.0034202544
57,0.0021504272860305893,1.0,0.0021504273,0.0032884716,1.0,0.0032884716
58,0.0020709768493449494,1.0,0.0020709771,0.0031671657,1.0,0.003167166
59,0.0019989350872610004,1.0,0.0019989351,0.003043284,1.0,0.0030432842
60,0.0019329976020080427,1.0,0.0019329975,0.0029627471,1.0,0.0029627471
61,0.0018712671585343478,1.0,0.001871267,0.0028489982,1.0,0.0028489984
62,0.0018171752143966696,1.0,0.0018171751,0.0027810568,1.0,0.0027810566
63,0.0017606213889760716,1.0,0.0017606213,0.0026893588,1.0,0.0026893588
64,0.0017088225736628256,1.0,0.0017088227,0.0026200314,1.0,0.0026200314
65,0.0016612093078888833,1.0,0.0016612095,0.0025376459,1.0,0.0025376459
66,0.001613078018811892,1.0,0.001613078,0.0024578373,1.0,0.002457837
67,0.0015684598418433339,1.0,0.0015684597,0.0024083646,1.0,0.0024083646
68,0.0015289991673442624,1.0,0.0015289993,0.0023432581,1.0,0.0023432581
69,0.0014867059080936615,1.0,0.0014867061,0.0022819065,1.0,0.0022819065
70,0.0014479691134540425,1.0,0.0014479691,0.0022316643,1.0,0.0022316643
71,0.0014151851909475462,1.0,0.0014151854,0.002165225,1.0,0.002165225
72,0.0013815077057393688,1.0,0.0013815077,0.0021279207,1.0,0.0021279207
73,0.0013508650186967344,1.0,0.001350865,0.00207134,1.0,0.00207134
74,0.0013170367399711282,1.0,0.0013170367,0.002020129,1.0,0.002020129
75,0.001286866752648606,1.0,0.0012868668,0.0019748094,1.0,0.0019748094
