epoch,loss,BinaryAccuracy,MSE,Test_loss,Test_BinaryAccuracy,Test_MSE
0,0.24181777326499715,0.61764705,0.24181779,0.22548863,0.6712963,0.22548862
1,0.23608253703397863,0.62352943,0.23608257,0.22630459,0.6712963,0.22630459
2,0.23672280846273197,0.61764705,0.23672283,0.22410813,0.6712963,0.22410814
3,0.23456019645228104,0.62352943,0.23456019,0.22394103,0.6712963,0.22394104
4,0.23303198796861313,0.5882353,0.23303196,0.21907905,0.6712963,0.21907906
5,0.23406389276770984,0.6,0.23406388,0.2192124,0.6712963,0.2192124
6,0.23114378601312638,0.6117647,0.23114377,0.21937628,0.6712963,0.21937627
7,0.23007081808412777,0.62352943,0.23007081,0.21937105,0.6712963,0.21937107
8,0.23005868398091373,0.62352943,0.2300587,0.23695719,0.5601852,0.2369572
9,0.2314116363577983,0.59411764,0.23141164,0.22155236,0.6435185,0.22155234
10,0.22867117383900812,0.62352943,0.2286712,0.21825713,0.6458333,0.21825714
11,0.22494868881562177,0.60588235,0.2249487,0.21573935,0.6550926,0.21573935
12,0.22060349949580782,0.6117647,0.2206035,0.21656457,0.6273148,0.21656458
13,0.21365139931440352,0.60588235,0.2136514,0.20460206,0.6597222,0.20460208
14,0.20523484848877963,0.62352943,0.20523487,0.19663432,0.6643519,0.19663432
15,0.1926345019656069,0.60588235,0.1926345,0.1876106,0.6759259,0.1876106
16,0.1808871613924994,0.6764706,0.18088716,0.18027867,0.6597222,0.18027866
17,0.1715012270738097,0.65294117,0.17150123,0.17069435,0.7152778,0.17069435
18,0.16483535834259408,0.7058824,0.16483536,0.16222477,0.7407407,0.16222477
19,0.1531184170395136,0.7588235,0.15311843,0.15840133,0.7291667,0.15840133
20,0.140744888199055,0.7941176,0.1407449,0.14786692,0.7800926,0.14786692
21,0.13437388474669526,0.7882353,0.13437389,0.13880688,0.8055556,0.13880688
22,0.12124392374089973,0.84705883,0.12124392,0.12418422,0.8310185,0.12418422
23,0.10606107335154186,0.87058824,0.106061086,0.105720006,0.8726852,0.10572001
24,0.08861711473368547,0.90588236,0.088617116,0.09539431,0.8819444,0.09539431
