epoch,loss,BinaryAccuracy,MSE,Test_loss,Test_BinaryAccuracy,Test_MSE
0,0.24193815764258889,0.62352943,0.24193813,0.22548464,0.6712963,0.22548462
1,0.2362655057626612,0.62352943,0.23626553,0.22631103,0.6712963,0.22631103
2,0.23685646232436686,0.61764705,0.23685649,0.22381957,0.6712963,0.22381958
3,0.23485570050337734,0.62352943,0.23485568,0.22372566,0.6712963,0.22372566
4,0.23338090803693323,0.59411764,0.23338093,0.218897,0.6712963,0.21889701
5,0.2345680429654963,0.6,0.23456804,0.21891159,0.6712963,0.2189116
6,0.23156866339199683,0.60588235,0.23156868,0.21911038,0.6712963,0.21911038
7,0.23047285816248725,0.62941176,0.23047288,0.21888758,0.6712963,0.21888758
8,0.23006987335050808,0.62352943,0.23006986,0.2346761,0.5648148,0.2346761
9,0.23023069159072987,0.5882353,0.23023067,0.21922797,0.6435185,0.21922797
10,0.22555021038826775,0.6117647,0.22555023,0.21345834,0.650463,0.21345836
11,0.21801813779508367,0.6117647,0.21801811,0.20721866,0.650463,0.20721866
12,0.20921643667799586,0.62941176,0.20921645,0.20475806,0.6226852,0.20475806
13,0.19898553361349247,0.61764705,0.19898556,0.19054219,0.6689815,0.19054218
14,0.18891957873368964,0.61764705,0.18891956,0.18242905,0.6736111,0.18242905
15,0.17560657696688878,0.62352943,0.17560656,0.17352104,0.7083333,0.17352104
16,0.16440283012959886,0.7058824,0.16440283,0.16548644,0.7013889,0.16548644
17,0.1544935852070065,0.7235294,0.1544936,0.15401097,0.7592593,0.15401097
18,0.14589148535639704,0.7764706,0.14589147,0.14235912,0.8078704,0.14235911
19,0.12917628325521946,0.85294116,0.12917629,0.13654651,0.837963,0.13654651
20,0.10992456951370354,0.87058824,0.109924555,0.109403305,0.8726852,0.109403305
21,0.09447370971662596,0.9117647,0.09447371,0.08780957,0.9513889,0.08780957
22,0.06981453950352529,0.9647059,0.06981455,0.06820443,0.9560185,0.06820443
23,0.05153213072677745,0.9882353,0.051532127,0.04835609,0.9953704,0.048356093
24,0.03628059604259975,1.0,0.036280595,0.036583822,0.9976852,0.036583822
25,0.025696186825413914,1.0,0.025696188,0.024574213,1.0,0.024574213
26,0.01927153999259805,1.0,0.019271541,0.019986892,1.0,0.019986892
27,0.015302000491989447,1.0,0.015301999,0.015582404,1.0,0.015582403
28,0.012306987546274767,1.0,0.012306986,0.012698774,1.0,0.012698774
29,0.010064702450900393,1.0,0.0100647025,0.01094362,1.0,0.010943619
30,0.008808314435950973,1.0,0.008808313,0.0094619505,1.0,0.00946195
31,0.007508006471428363,1.0,0.0075080073,0.008212212,1.0,0.008212212
32,0.006572792381869958,1.0,0.006572793,0.0076246713,1.0,0.007624671
33,0.005908346670570181,1.0,0.0059083463,0.0069434224,1.0,0.0069434224
34,0.005300758516087252,1.0,0.0053007584,0.005977389,1.0,0.005977389
35,0.0048270139131037625,1.0,0.004827014,0.0054484177,1.0,0.0054484177
36,0.0043889856637072035,1.0,0.0043889857,0.005219019,1.0,0.005219019
37,0.004085526414051213,1.0,0.0040855263,0.004704878,1.0,0.004704878
38,0.0037536066984209943,1.0,0.0037536067,0.004448793,1.0,0.0044487934
39,0.003526991367449655,1.0,0.0035269912,0.004026502,1.0,0.004026502
40,0.003251130607746103,1.0,0.0032511307,0.0037450364,1.0,0.0037450364
41,0.0030525475425426576,1.0,0.0030525473,0.0036297694,1.0,0.0036297694
42,0.002870448146645418,1.0,0.0028704482,0.0034017717,1.0,0.0034017717
43,0.0027206464074825978,1.0,0.0027206466,0.0032124883,1.0,0.0032124883
44,0.002576064715942587,1.0,0.0025760648,0.0029570851,1.0,0.002957085
45,0.0024374204841853286,1.0,0.0024374204,0.0028252122,1.0,0.0028252124
46,0.0023052986070979387,1.0,0.0023052986,0.0027051931,1.0,0.0027051934
47,0.0022264260761028923,1.0,0.002226426,0.0025753423,1.0,0.0025753423
48,0.0020916781044113177,1.0,0.0020916783,0.0024676125,1.0,0.0024676125
49,0.0019991920586428878,1.0,0.0019991922,0.0023818112,1.0,0.0023818114
50,0.0019372781980029471,1.0,0.0019372784,0.002282968,1.0,0.0022829678
51,0.0018402088546495446,1.0,0.0018402089,0.0021945392,1.0,0.0021945392
52,0.001775260701405761,1.0,0.0017752605,0.0021008984,1.0,0.0021008984
53,0.0017089438097387115,1.0,0.0017089437,0.0020046097,1.0,0.0020046097
54,0.00164006349779597,1.0,0.0016400635,0.0019396523,1.0,0.0019396523
55,0.001582363060750889,1.0,0.001582363,0.0018850177,1.0,0.0018850177
56,0.0015269724950057399,1.0,0.0015269725,0.0018079438,1.0,0.0018079438
57,0.0014865244995556114,1.0,0.0014865246,0.0017579304,1.0,0.0017579304
58,0.0014298084428232601,1.0,0.0014298084,0.0017050975,1.0,0.0017050975
59,0.0013832601739148444,1.0,0.0013832601,0.0016546133,1.0,0.0016546133
60,0.0013492072526680526,1.0,0.0013492074,0.0016042391,1.0,0.0016042392
61,0.0013025467163328465,1.0,0.0013025467,0.0015591023,1.0,0.0015591023
62,0.0012708707371048684,1.0,0.0012708709,0.0015082414,1.0,0.0015082414
63,0.0012331177126136883,1.0,0.0012331177,0.0014668764,1.0,0.0014668765
64,0.00119447357052088,1.0,0.0011944736,0.0014292066,1.0,0.0014292067
65,0.0011685376781422425,1.0,0.0011685378,0.0013934262,1.0,0.0013934262
66,0.0011381424199070726,1.0,0.0011381423,0.0013590383,1.0,0.0013590384
67,0.0011098214005709024,1.0,0.0011098216,0.0013214746,1.0,0.0013214746
68,0.0010805499051724943,1.0,0.00108055,0.0012842922,1.0,0.0012842922
69,0.0010495998189606539,1.0,0.0010496,0.0012562111,1.0,0.001256211
70,0.0010306039345724617,1.0,0.0010306039,0.0012258013,1.0,0.0012258013
71,0.001003719787524246,1.0,0.0010037197,0.0011977956,1.0,0.0011977956
72,0.0009810424413230709,1.0,0.0009810425,0.0011738441,1.0,0.0011738441
73,0.0009587694874105236,1.0,0.0009587695,0.0011483799,1.0,0.00114838
74,0.0009407910778570701,1.0,0.0009407911,0.0011278187,1.0,0.0011278187
75,0.0009163174095139017,1.0,0.0009163174,0.0010992725,1.0,0.0010992724
76,0.0008976586817024166,1.0,0.00089765876,0.0010771488,1.0,0.0010771487
77,0.0008799172532984385,1.0,0.00087991724,0.0010532852,1.0,0.0010532852
78,0.0008616826430250726,1.0,0.00086168264,0.0010281004,1.0,0.0010281004
79,0.0008480351692175164,1.0,0.00084803515,0.0010093971,1.0,0.0010093971
80,0.0008263178792891695,1.0,0.00082631793,0.000991369,1.0,0.000991369
81,0.0008134860684923992,1.0,0.0008134861,0.0009703878,1.0,0.0009703877
82,0.0007940533254227108,1.0,0.00079405337,0.0009531247,1.0,0.0009531247
83,0.0007802821769420167,1.0,0.00078028213,0.00093757146,1.0,0.00093757146
84,0.0007678395108086988,1.0,0.0007678395,0.000922548,1.0,0.00092254794
85,0.0007525674170157051,1.0,0.0007525674,0.0009060305,1.0,0.00090603053
86,0.0007412872455247185,1.0,0.00074128725,0.00089208124,1.0,0.00089208124
87,0.0007265890884274782,1.0,0.00072658906,0.0008751808,1.0,0.0008751809
88,0.0007158682174871074,1.0,0.0007158682,0.00085831614,1.0,0.00085831614
89,0.0006999056223054033,1.0,0.00069990556,0.0008441175,1.0,0.0008441174
90,0.0006901267506798511,1.0,0.00069012673,0.0008292004,1.0,0.0008292004
91,0.0006820056289571393,1.0,0.00068200566,0.00081610336,1.0,0.0008161033
92,0.0006660770059919314,1.0,0.000666077,0.0008026252,1.0,0.00080262515
93,0.0006571195290341755,1.0,0.0006571195,0.0007896247,1.0,0.0007896247
94,0.0006488526041400344,1.0,0.00064885267,0.00077647594,1.0,0.00077647594
95,0.0006388152650769745,1.0,0.00063881534,0.00076327054,1.0,0.00076327054
96,0.0006280631844728144,1.0,0.00062806316,0.00075162796,1.0,0.0007516279
97,0.0006151133941089297,1.0,0.00061511336,0.00074096175,1.0,0.00074096175
98,0.0006085057030705845,1.0,0.0006085057,0.0007303408,1.0,0.0007303408
99,0.0006006526228328072,1.0,0.0006006526,0.0007202563,1.0,0.00072025636
