epoch,loss,BinaryAccuracy,MSE,Val_loss,Val_BinaryAccuracy,Val_MSE
0,0.24919876480688813,0.5409836,0.24918947,0.24896176,0.5300926,0.24895243
1,0.24834715929187712,0.5409836,0.24833785,0.24799958,0.5601852,0.24799025
2,0.2474404724894977,0.57377046,0.24743111,0.24699637,0.6041667,0.246987
3,0.24648700410225352,0.57377046,0.24647757,0.24595273,0.6527778,0.2459433
4,0.24553110291723346,0.6557377,0.24552162,0.24485415,0.6898148,0.24484463
5,0.24443698173663655,0.6885246,0.24442741,0.24370511,0.7268519,0.24369548
6,0.24332523663512995,0.704918,0.24331552,0.24243923,0.7685185,0.24242945
7,0.24211952627682296,0.74590164,0.24210969,0.24107185,0.8217593,0.24106193
8,0.24076994105440672,0.77868855,0.2407599,0.23958403,0.8472222,0.2395739
9,0.23924954968397735,0.76229507,0.23923932,0.2379217,0.8888889,0.23791131
10,0.23764874578499404,0.852459,0.23763824,0.23611455,0.912037,0.23610389
11,0.23577337528838485,0.90163934,0.2357626,0.23416546,0.9305556,0.23415452
12,0.23382956522410034,0.90983605,0.23381846,0.23196481,0.9537037,0.23195353
13,0.2316674616981725,0.92622954,0.23165597,0.22957313,0.9583333,0.22956143
14,0.22922047410832078,0.90163934,0.22920859,0.22697869,0.962963,0.22696654
15,0.2265911243978094,0.91803277,0.22657873,0.22411846,0.9699074,0.22410579
16,0.22363499051234761,0.91803277,0.22362205,0.2209537,0.9699074,0.22094049
17,0.2205733422373162,0.91803277,0.2205598,0.2175635,0.9699074,0.21754964
18,0.21714023415182457,0.93442625,0.21712603,0.21379843,0.9675926,0.21378388
19,0.21349046660251306,0.93442625,0.21347554,0.20976903,0.9675926,0.2097537
20,0.209478711495634,0.93442625,0.20946303,0.20550469,0.9675926,0.20548853
21,0.20531420018829283,0.93442625,0.20529762,0.2009182,0.9675926,0.20090109
22,0.20095816352328316,0.92622954,0.2009406,0.19623618,0.9699074,0.19621807
23,0.19629894587837282,0.93442625,0.19628033,0.19113225,0.9699074,0.1911131
24,0.19148193727262686,0.93442625,0.1914622,0.18601808,0.9699074,0.18599777
25,0.18659315465903673,0.93442625,0.18657225,0.18057643,0.9699074,0.1805549
26,0.18140538708596934,0.93442625,0.18138316,0.17513156,0.9699074,0.17510872
27,0.17624805318038972,0.93442625,0.17622463,0.16974646,0.9699074,0.16972227
28,0.1710996929495061,0.93442625,0.17107485,0.16410688,0.9699074,0.16408125
29,0.1658363367934696,0.93442625,0.16580994,0.15855606,0.9699074,0.15852897
30,0.16076370939368106,0.93442625,0.16073588,0.15295784,0.9722222,0.15292922
31,0.15577984473011533,0.93442625,0.15575045,0.14764772,0.9722222,0.14761755
32,0.15084682185141768,0.93442625,0.1508159,0.1423654,0.9722222,0.14233361
33,0.1460914165392274,0.93442625,0.14605884,0.13731343,0.9722222,0.13728003
34,0.14149884140638055,0.93442625,0.1414647,0.13232973,0.9722222,0.13229467
35,0.13687241883551488,0.93442625,0.13683651,0.12757805,0.9722222,0.12754133
36,0.13273602437044754,0.93442625,0.1326985,0.12301484,0.9722222,0.122976445
37,0.1284355507766614,0.93442625,0.12839635,0.11855394,0.9722222,0.11851387
38,0.12463380817751415,0.93442625,0.124592915,0.114419326,0.9722222,0.11437759
39,0.12089826215486058,0.93442625,0.12085567,0.11032652,0.9722222,0.11028311
40,0.11747098698845652,0.93442625,0.117426686,0.1064995,0.9722222,0.10645443
41,0.11403318314400852,0.93442625,0.1139873,0.102850944,0.9722222,0.102804214
42,0.11075965638776294,0.93442625,0.11071212,0.0993412,0.9722222,0.099292845
43,0.1078681264866571,0.93442625,0.10781891,0.09625748,0.9722222,0.09620751
44,0.10499625653028488,0.93442625,0.10494555,0.09284533,0.9722222,0.09279374
45,0.10239754372932872,0.93442625,0.10234515,0.089913964,0.9722222,0.0898608
46,0.09981290833474915,0.93442625,0.09975893,0.087351285,0.9722222,0.0872966
47,0.09746467564865703,0.93442625,0.097409196,0.08487488,0.9722222,0.08481867
48,0.09531306747927284,0.93442625,0.09525611,0.082366735,0.9722222,0.08230903
49,0.0932430555952377,0.93442625,0.0931846,0.07991727,0.9722222,0.07985807
50,0.09130309158783467,0.93442625,0.09124315,0.077835344,0.9722222,0.077774726
51,0.08951226858895456,0.93442625,0.089451045,0.07550169,0.9722222,0.07543964
52,0.08768259123212001,0.93442625,0.08761987,0.0738752,0.9722222,0.07381178
53,0.08614474099098904,0.93442625,0.08608077,0.07198952,0.9722222,0.07192476
54,0.0845906535377268,0.93442625,0.08452516,0.07023336,0.9722222,0.07016727
55,0.08321597482093045,0.93442625,0.08314925,0.068451874,0.9722222,0.06838449
56,0.08182696361461135,0.93442625,0.08175896,0.06704184,0.9722222,0.06697321
