epoch,loss,BinaryAccuracy,Val_loss,Val_BinaryAccuracy
0,0.2506276452150501,0.46721312,0.24965721,0.5416667
1,0.2492513397678,0.52459013,0.24820264,0.6319444
2,0.2478009428157181,0.5491803,0.24660015,0.6990741
3,0.2462257221341133,0.60655737,0.24479482,0.7592593
4,0.24439004552168925,0.6967213,0.24267343,0.7847222
5,0.24216882689077346,0.8278689,0.24018422,0.8078704
6,0.23945390396430843,0.78688526,0.2370344,0.8333333
7,0.23612763354035674,0.8360656,0.23319887,0.8634259
8,0.2320184954365746,0.8442623,0.22850673,0.8819444
9,0.22694590773250237,0.86885244,0.22266838,0.900463
10,0.22099970879613376,0.86885244,0.21580382,0.912037
11,0.21376401283701912,0.8770492,0.20806676,0.9282407
12,0.2056954854824504,0.90983605,0.1988166,0.9351852
13,0.1965410065089093,0.90983605,0.18890974,0.9421296
14,0.18649927349608453,0.90983605,0.17855775,0.9467593
15,0.17626617372524542,0.91803277,0.16773401,0.9513889
16,0.16601922179831832,0.92622954,0.15605901,0.9560185
17,0.15543121530017892,0.91803277,0.14583823,0.9606481
18,0.14589601364292082,0.92622954,0.13445114,0.962963
19,0.13669680489501992,0.92622954,0.124632165,0.9652778
20,0.12825266029075033,0.93442625,0.11557726,0.9722222
21,0.12047762659637899,0.93442625,0.10697478,0.9722222
22,0.11338047147346814,0.93442625,0.1004338,0.9722222
23,0.10711904770893152,0.93442625,0.09271006,0.9722222
24,0.10168984940573268,0.93442625,0.08740456,0.9722222
25,0.09665191624138016,0.93442625,0.08132145,0.9722222
26,0.09230685218611397,0.93442625,0.07680217,0.9722222
27,0.08844143587076793,0.93442625,0.07298257,0.9722222
28,0.0850283144954134,0.93442625,0.068838894,0.9722222
29,0.08202411939073201,0.93442625,0.065611705,0.9722222
30,0.07926028783978956,0.93442625,0.06219116,0.9722222
31,0.07704891857154836,0.93442625,0.060001,0.9722222
32,0.07498628730608005,0.93442625,0.05766845,0.9722222
33,0.07316813033077003,0.93442625,0.056073602,0.9722222
34,0.07152885892469012,0.93442625,0.054066937,0.9722222
35,0.0701295998889512,0.93442625,0.05248733,0.9722222
36,0.06886997422633777,0.93442625,0.051508293,0.9722222
37,0.06773521444525524,0.93442625,0.050282363,0.9722222
38,0.06671566667620162,0.93442625,0.049433462,0.9722222
39,0.06577189550897275,0.93442625,0.048554067,0.9722222
40,0.06493458689486734,0.93442625,0.047852296,0.9722222
41,0.0641349001650314,0.93442625,0.04755469,0.9722222
42,0.06350912169686215,0.93442625,0.0468064,0.9722222
43,0.06274753264011958,0.93442625,0.04682533,0.9722222
44,0.062226415802290484,0.93442625,0.045492966,0.9722222
45,0.061674890601084296,0.93442625,0.04511087,0.9722222
