epoch,loss,BinaryAccuracy,MSE,Test_loss,Test_BinaryAccuracy,Test_MSE
0,0.24895070590933815,0.58196723,0.24892025,0.24901153,0.5300926,0.24898101
1,0.24837562905960395,0.5327869,0.24834503,0.24839249,0.5625,0.24836181
2,0.24764324675817959,0.58196723,0.24761212,0.24762498,0.6018519,0.24759379
3,0.24677876395280243,0.55737704,0.246747,0.24669957,0.6412037,0.2466675
4,0.24580596973661517,0.647541,0.24577327,0.24557997,0.6712963,0.24554655
5,0.2444585283271602,0.72131145,0.2444241,0.24425419,0.6782407,0.24421884
6,0.24292718289328402,0.6967213,0.24289054,0.24251568,0.7175926,0.24247772
7,0.24105721858681226,0.76229507,0.24101792,0.24038658,0.7337963,0.24034518
8,0.23864926080234716,0.77868855,0.23860581,0.23777741,0.7546296,0.23773159
9,0.23561543910229793,0.76229507,0.23556669,0.23444967,0.7939815,0.2343982
10,0.23215144701668475,0.8114754,0.23209648,0.23050258,0.8217593,0.23044404
11,0.22768845323656425,0.8606557,0.2276257,0.22598633,0.837963,0.22591893
12,0.22280672339142346,0.86885244,0.22273466,0.22036792,0.8680556,0.2202899
13,0.21701653545997182,0.8770492,0.21693265,0.2140735,0.8819444,0.21398273
14,0.21023202943997304,0.86885244,0.21013446,0.20715505,0.8935185,0.20704928
15,0.20294507971552553,0.89344263,0.20283099,0.19939734,0.9097222,0.19927427
16,0.19493451054956093,0.91803277,0.19480258,0.19061328,0.9212963,0.19047077
17,0.18654444264095338,0.89344263,0.18639094,0.18207306,0.9375,0.18190904
18,0.17801368358682412,0.91803277,0.17783768,0.17221503,0.9421296,0.17202756
19,0.16940024531767017,0.92622954,0.16920021,0.16288327,0.9467593,0.16267103
20,0.16079709801028985,0.92622954,0.16057187,0.15394334,0.9513889,0.15370518
21,0.15276982574189296,0.92622954,0.1525199,0.14496374,0.9583333,0.14469872
22,0.14511139104600812,0.92622954,0.14483356,0.13767864,0.9652778,0.13738695
23,0.13776518270129062,0.92622954,0.1374596,0.1289832,0.9652778,0.12866423
24,0.13130867597265322,0.92622954,0.13097663,0.12244163,0.9722222,0.122096114
25,0.12528017890013632,0.93442625,0.12492158,0.115102105,0.9722222,0.11472995
26,0.11946434796345039,0.93442625,0.11907827,0.10935661,0.9722222,0.10895889
27,0.11453291804331248,0.93442625,0.11412457,0.10447171,0.9722222,0.10404915
28,0.11002400059436189,0.93442625,0.109591596,0.09881838,0.9722222,0.09837137
29,0.1056949768795586,0.93442625,0.105235025,0.09423457,0.9722222,0.09376446
30,0.10209016590455516,0.93442625,0.10160865,0.08956226,0.9722222,0.08906978
31,0.09900743734152591,0.93442625,0.098503634,0.08632899,0.9722222,0.08581591
32,0.09605783474494199,0.93442625,0.09553592,0.08292501,0.9722222,0.08239188
33,0.09346102014733632,0.93442625,0.09291912,0.080388196,0.9722222,0.07983636
34,0.09116924991525832,0.93442625,0.09061044,0.077397004,0.9722222,0.07682698
35,0.08881474396244424,0.93442625,0.08823645,0.07504389,0.9722222,0.07445713
36,0.08716398804280602,0.93442625,0.086570576,0.07318273,0.9722222,0.07258024
37,0.08521664420478657,0.93442625,0.0846071,0.071067974,0.9722222,0.07045077
38,0.08382620233431702,0.93442625,0.08320203,0.069608174,0.9722222,0.06897733
39,0.0824857399966873,0.93442625,0.081847385,0.067858234,0.9722222,0.06721453
40,0.08134094162340291,0.93442625,0.08068941,0.066581786,0.9722222,0.065926164
41,0.08016119544684398,0.93442625,0.07949951,0.065643996,0.9722222,0.064977236
42,0.07910538931972667,0.93442625,0.07843307,0.06435075,0.9722222,0.06367344
43,0.07825563188459052,0.93442625,0.07757232,0.06409266,0.9722222,0.06340548
44,0.07760358325465293,0.93442625,0.07691272,0.062075872,0.9722222,0.061378896
45,0.0768525607303762,0.93442625,0.076150924,0.061277583,0.9722222,0.060571898
46,0.07595277162360363,0.93442625,0.07524204,0.06133734,0.9722222,0.060623974
47,0.07546474168565674,0.93442625,0.074746445,0.060850844,0.9722222,0.06012983
48,0.07504400450614143,0.93442625,0.07431943,0.059975166,0.9722222,0.059246905
49,0.07463906381706722,0.93442625,0.07390737,0.058996778,0.9722222,0.058261666
50,0.07405196166917925,0.93442625,0.07331326,0.05879017,0.9722222,0.05804911
51,0.0738372502115662,0.93442625,0.073094785,0.057550386,0.9722222,0.056802858
52,0.07312779734674536,0.93442625,0.07237779,0.058111228,0.9722222,0.057358727
53,0.07300195384953843,0.93442625,0.07224845,0.057224374,0.9722222,0.056466397
54,0.07246857125800653,0.93442625,0.07170707,0.057019603,0.9722222,0.056257002
55,0.07227195266512085,0.93442625,0.071507044,0.056217667,0.9722222,0.05545057
56,0.07190711190160669,0.93442625,0.071138255,0.056215107,0.9722222,0.055444002
57,0.07172267361864691,0.93442625,0.07095071,0.055968255,0.9722222,0.05519333
