epoch,loss,BinaryAccuracy,MSE,Val_loss,Val_BinaryAccuracy,Val_MSE
0,0.251652697401662,0.44354838,0.2516527,0.24727888,0.46064815,0.24727888
1,0.24252733540150426,0.62096775,0.24252732,0.23036566,0.7060185,0.23036566
2,0.20558746735895833,0.733871,0.20558748,0.20246957,0.7268519,0.20246957
3,0.17133453560452308,0.7903226,0.17133455,0.18939954,0.7337963,0.18939954
4,0.15700968865665696,0.82258064,0.15700969,0.18847205,0.7314815,0.18847203
5,0.1441298694379868,0.8145161,0.14412987,0.19322382,0.75,0.19322382
6,0.13686195439508847,0.83870965,0.13686197,0.18231823,0.7546296,0.18231823
7,0.13279960454711992,0.82258064,0.13279961,0.1869746,0.7615741,0.1869746
8,0.13600723655714142,0.83870965,0.13600725,0.18814948,0.7569444,0.18814948
9,0.12555521786693605,0.8548387,0.1255552,0.1771484,0.7731481,0.1771484
10,0.1212877000591928,0.87096775,0.12128771,0.17926544,0.7685185,0.17926544
11,0.12144378879137578,0.8548387,0.121443786,0.16918366,0.8032407,0.16918366
12,0.11231755528358682,0.87903225,0.112317555,0.16472681,0.8125,0.16472682
13,0.11188240918601232,0.88709676,0.11188241,0.15917785,0.8240741,0.15917787
14,0.102399155137039,0.88709676,0.10239915,0.16483115,0.8101852,0.16483113
15,0.09844402955364316,0.8951613,0.098444045,0.14880432,0.8240741,0.14880434
16,0.09462612254485007,0.8951613,0.09462612,0.13716371,0.8333333,0.13716371
17,0.08998036838226742,0.8951613,0.08998037,0.12821083,0.8356481,0.12821083
18,0.08091487525211226,0.9032258,0.08091488,0.11910592,0.8402778,0.11910593
19,0.07271140053748124,0.91935486,0.0727114,0.11263934,0.8865741,0.11263934
20,0.06865343631755921,0.9354839,0.068653435,0.10202673,0.8541667,0.10202673
21,0.06179841658881595,0.9354839,0.06179842,0.09092468,0.9097222,0.09092467
22,0.05557646222352501,0.9596774,0.05557646,0.085404746,0.8935185,0.085404746
23,0.05130947271602288,0.9516129,0.05130947,0.07492784,0.9166667,0.07492784
24,0.04804477845168402,0.9596774,0.048044782,0.07090024,0.9166667,0.07090024
25,0.044492281928297975,0.9596774,0.04449228,0.06710334,0.9166667,0.06710335
26,0.039246879480478745,0.9596774,0.039246883,0.06790556,0.9166667,0.06790556
27,0.0369808113037218,0.9596774,0.03698082,0.063438945,0.9166667,0.063438945
28,0.03393094877021447,0.9596774,0.03393095,0.049202558,0.9166667,0.049202554
29,0.02819308722316618,0.9677419,0.028193088,0.04054521,0.9976852,0.040545214
30,0.026553649898438204,0.9758065,0.026553651,0.03378957,0.9722222,0.033789575
31,0.02203379244723868,0.983871,0.022033794,0.032472953,0.9537037,0.032472953
32,0.01843295655412329,1.0,0.018432956,0.024600541,1.0,0.02460054
