epoch,loss,BinaryAccuracy,MSE,Test_loss,Test_BinaryAccuracy,Test_MSE
0,0.2504102995649713,0.5,0.25041032,0.24999873,0.5092593,0.24999873
1,0.24975256695122014,0.52459013,0.24975255,0.2493701,0.5601852,0.2493701
2,0.24901839675473386,0.52459013,0.24901839,0.24865143,0.6041667,0.24865143
3,0.2481968827912065,0.6229508,0.24819688,0.24783209,0.6481481,0.24783207
4,0.2473115772008896,0.6557377,0.24731156,0.24685165,0.6875,0.24685165
5,0.24610434154995153,0.704918,0.24610434,0.24569274,0.7083333,0.24569274
6,0.24474894682892034,0.6967213,0.24474892,0.2441703,0.7453704,0.24417031
7,0.24305188704709538,0.76229507,0.24305189,0.24226563,0.775463,0.24226563
8,0.24085212804254938,0.795082,0.24085213,0.23986796,0.8055556,0.23986796
9,0.23802635562224467,0.7704918,0.23802634,0.23676251,0.8449074,0.2367625
10,0.2346924814533015,0.852459,0.23469247,0.23295766,0.8680556,0.23295766
11,0.23028548477125949,0.8606557,0.2302855,0.22843067,0.8888889,0.22843067
12,0.22527790020723812,0.8606557,0.2252779,0.22271426,0.912037,0.22271426
13,0.21923092471771552,0.90983605,0.21923093,0.21610278,0.9282407,0.2161028
14,0.21196107151078397,0.90983605,0.21196109,0.20859087,0.9421296,0.20859088
15,0.20395439960917489,0.90983605,0.2039544,0.20000102,0.9444444,0.20000102
16,0.19495448641112592,0.93442625,0.19495448,0.19016074,0.9537037,0.19016072
17,0.18545147849888097,0.93442625,0.18545148,0.18028705,0.9583333,0.18028703
18,0.175568411706901,0.93442625,0.1755684,0.16901006,0.9583333,0.16901006
19,0.16555222710136508,0.93442625,0.16555224,0.15823473,0.9652778,0.15823475
20,0.15552360979748553,0.93442625,0.1555236,0.14778396,0.9699074,0.14778396
21,0.14607951619097445,0.93442625,0.1460795,0.13737005,0.9722222,0.13737005
22,0.13724856164123192,0.93442625,0.13724856,0.12865508,0.9722222,0.12865508
23,0.12881877151180487,0.93442625,0.12881875,0.11887618,0.9722222,0.11887618
24,0.121342358927502,0.93442625,0.121342346,0.11129507,0.9722222,0.11129506
25,0.11453375043194802,0.93442625,0.11453375,0.1031545,0.9722222,0.103154495
26,0.10809317341104882,0.93442625,0.10809316,0.09664016,0.9722222,0.09664017
27,0.10253050773725157,0.93442625,0.1025305,0.091023795,0.9722222,0.091023795
28,0.09759040128012172,0.93442625,0.0975904,0.08504299,0.9722222,0.08504299
29,0.09322495363103073,0.93442625,0.09322495,0.080224864,0.9722222,0.08022486
30,0.08939009071251408,0.93442625,0.08939009,0.07537549,0.9722222,0.0753755
31,0.08620002553569245,0.93442625,0.086200036,0.071940556,0.9722222,0.071940556
32,0.08307571806868569,0.93442625,0.08307572,0.06845044,0.9722222,0.06845044
33,0.08048059217265395,0.93442625,0.08048059,0.06586339,0.9722222,0.06586339
34,0.07812373452346588,0.93442625,0.07812374,0.06295057,0.9722222,0.06295057
35,0.07596776762702426,0.93442625,0.075967774,0.060586963,0.9722222,0.060586967
36,0.07424103398425658,0.93442625,0.074241035,0.058832385,0.9722222,0.058832385
37,0.07246419914127862,0.93442625,0.072464205,0.056905817,0.9722222,0.05690582
38,0.07108607708064259,0.93442625,0.07108608,0.055526663,0.9722222,0.055526663
39,0.06983309629999224,0.93442625,0.06983311,0.05411586,0.9722222,0.054115858
40,0.06870514950447823,0.93442625,0.06870514,0.052927963,0.9722222,0.052927963
