epoch,loss,BinaryAccuracy,MSE,Val_loss,Val_BinaryAccuracy,Val_MSE
0,0.24209635345374836,0.61764705,0.24209635,0.22545503,0.6712963,0.22545506
1,0.23646961038603503,0.62352943,0.23646961,0.22584382,0.6712963,0.2258438
2,0.23735021983875948,0.61764705,0.23735021,0.22388916,0.6712963,0.22388916
3,0.23562401480534498,0.62352943,0.235624,0.22364949,0.6712963,0.22364949
4,0.23433932065963745,0.60588235,0.23433934,0.21887094,0.6712963,0.21887094
5,0.23543615726863637,0.61764705,0.23543614,0.21873878,0.6712963,0.21873878
6,0.23202808429213131,0.6117647,0.23202811,0.2186986,0.6712963,0.2186986
7,0.23098486951168845,0.61764705,0.23098488,0.21861221,0.6712963,0.21861221
8,0.23084640958729913,0.62352943,0.23084643,0.23549168,0.5717593,0.2354917
9,0.23204639843281577,0.6,0.23204643,0.22161093,0.6458333,0.22161093
10,0.22985617202870987,0.61764705,0.22985615,0.21886145,0.6481481,0.21886145
11,0.2273711151936475,0.6,0.2273711,0.21722095,0.6481481,0.21722095
12,0.22433135145727326,0.6,0.22433135,0.21905386,0.6226852,0.21905388
13,0.2188988603213254,0.60588235,0.21889885,0.20896351,0.6365741,0.20896351
14,0.21232136514256983,0.62352943,0.21232136,0.20115277,0.6365741,0.20115276
15,0.2004199489731999,0.5882353,0.20041995,0.19247249,0.662037,0.19247249
16,0.18819379197324024,0.6647059,0.18819378,0.18526278,0.6273148,0.18526278
17,0.17840863507898413,0.65882355,0.17840864,0.17421848,0.6851852,0.17421848
18,0.1710692775874015,0.6882353,0.17106926,0.16440696,0.7314815,0.16440696
19,0.15719637740403414,0.7647059,0.15719639,0.15951373,0.7314815,0.15951373
20,0.14254961223410004,0.8117647,0.1425496,0.14651902,0.775463,0.14651904
21,0.13527362935162862,0.81764704,0.13527364,0.13575007,0.8078704,0.13575006
22,0.12097616580807988,0.84117645,0.12097614,0.11901862,0.8518519,0.119018614
23,0.10232147813281592,0.86470586,0.10232147,0.09749211,0.8981481,0.097492106
24,0.08023963349268717,0.91764706,0.08023964,0.08252284,0.9097222,0.08252285
25,0.05813103466130355,0.9823529,0.05813104,0.050546695,0.9953704,0.050546695
26,0.040825995233129055,1.0,0.040825993,0.03978255,1.0,0.039782554
27,0.029844799210481783,1.0,0.0298448,0.027249275,1.0,0.027249273
28,0.02188037616365096,1.0,0.021880377,0.020976031,1.0,0.020976031
29,0.01668458423193763,1.0,0.016684584,0.016216584,1.0,0.016216584
30,0.013690924589686534,1.0,0.013690924,0.013305121,1.0,0.01330512
31,0.011059392727089718,1.0,0.011059393,0.011177165,1.0,0.011177165
32,0.009310307305799249,1.0,0.009310307,0.010050209,1.0,0.010050209
33,0.008105563332655412,1.0,0.008105564,0.00888119,1.0,0.00888119
34,0.007057993320802994,1.0,0.0070579927,0.007453957,1.0,0.007453957
35,0.006293414876905872,1.0,0.0062934146,0.0066635762,1.0,0.0066635762
36,0.005578747821752639,1.0,0.0055787484,0.0063303015,1.0,0.0063303015
37,0.005124768283327713,1.0,0.0051247682,0.0055608,1.0,0.0055608
38,0.004628820931675898,1.0,0.004628821,0.0052161985,1.0,0.0052161985
39,0.004296583976760945,1.0,0.004296584,0.0046539675,1.0,0.0046539675
40,0.003917386126019718,1.0,0.003917386,0.004280331,1.0,0.004280331
41,0.003634590753491091,1.0,0.003634591,0.0041163093,1.0,0.0041163093
42,0.003389584150521413,1.0,0.0033895844,0.0038122192,1.0,0.0038122195
43,0.0031839087564388617,1.0,0.0031839083,0.0035761972,1.0,0.0035761974
44,0.0029908795553423902,1.0,0.0029908798,0.0032726345,1.0,0.0032726342
45,0.002815079956096323,1.0,0.0028150799,0.0031030604,1.0,0.0031030604
46,0.0026444526409785097,1.0,0.0026444527,0.0029553468,1.0,0.0029553466
47,0.002535601797075394,1.0,0.0025356018,0.0028062756,1.0,0.0028062752
48,0.0023736849404967335,1.0,0.002373685,0.002667643,1.0,0.002667643
49,0.0022565684140906394,1.0,0.0022565685,0.0025668275,1.0,0.0025668275
50,0.002175633195335703,1.0,0.002175633,0.0024465243,1.0,0.0024465243
51,0.0020604801747728797,1.0,0.0020604804,0.002344841,1.0,0.002344841
52,0.0019821829231017655,1.0,0.0019821827,0.0022358207,1.0,0.002235821
53,0.0018989535890903105,1.0,0.0018989537,0.0021285533,1.0,0.0021285533
54,0.0018156714970245958,1.0,0.0018156715,0.0020512182,1.0,0.0020512182
55,0.001747224446701105,1.0,0.0017472242,0.0019878268,1.0,0.001987827
56,0.0016800672495532233,1.0,0.0016800674,0.0019001479,1.0,0.0019001479
57,0.0016305972530972213,1.0,0.001630597,0.001843067,1.0,0.0018430669
58,0.0015660262040054316,1.0,0.0015660264,0.0017828098,1.0,0.0017828098
59,0.0015101072621559175,1.0,0.0015101073,0.0017265282,1.0,0.0017265282
60,0.0014699168520404355,1.0,0.0014699168,0.0016701246,1.0,0.0016701247
61,0.0014154782675391557,1.0,0.0014154782,0.0016202956,1.0,0.0016202955
