epoch,loss,BinaryAccuracy,Val_loss,Val_BinaryAccuracy
0,0.24246367485918238,0.6213018,0.2264413,0.6712963
1,0.237418375512552,0.6213018,0.22773045,0.6712963
2,0.23771802812109333,0.6213018,0.22347368,0.6712963
3,0.236367907970262,0.6213018,0.22479525,0.6712963
4,0.23401278054573127,0.61538464,0.21948932,0.6712963
5,0.2341118684622663,0.61538464,0.21915805,0.6712963
6,0.23191874564663897,0.61538464,0.21918303,0.6712963
7,0.23058204515974903,0.60946745,0.21949846,0.6666667
8,0.2299446762930712,0.61538464,0.23340957,0.5925926
9,0.23198094163861502,0.5976331,0.22432919,0.6435185
10,0.23086527210368207,0.6390532,0.22118773,0.6597222
11,0.22940071002089765,0.60946745,0.22041003,0.6527778
12,0.23045485757688094,0.61538464,0.22452329,0.6435185
13,0.22982087563833542,0.5976331,0.22346534,0.650463
14,0.22989391775790757,0.61538464,0.22078405,0.6574074
15,0.22948503245175236,0.60946745,0.22040173,0.6550926
16,0.22733808568948824,0.6390532,0.22192743,0.6458333
17,0.2265202306078736,0.62721896,0.21762286,0.6597222
18,0.22458060559700932,0.65088755,0.21477522,0.6527778
19,0.21737830260404822,0.6390532,0.2098435,0.662037
20,0.20810954917508823,0.6390532,0.20244119,0.6643519
21,0.1988834523921006,0.6331361,0.19339985,0.6805556
22,0.1885889736996115,0.70414203,0.18766567,0.6782407
23,0.17714372906866951,0.66863906,0.17572334,0.7175926
24,0.1667671387797475,0.70414203,0.17340209,0.7199074
25,0.15565031991731484,0.75739646,0.15862906,0.7662037
26,0.14287424395439496,0.78698224,0.14888681,0.7939815
27,0.12984405131183963,0.82840234,0.12887326,0.8773148
28,0.1077373525211808,0.88757396,0.11023236,0.837963
29,0.08821281537857215,0.93491125,0.08280004,0.9490741
30,0.06575711985730384,0.97633135,0.06086664,0.9699074
31,0.04722803093895272,0.9881657,0.046061013,0.974537
32,0.03261043356329247,1.0,0.039977584,0.9768519
33,0.024582447927753777,0.99408287,0.026498688,0.9953704
34,0.0182972446761849,1.0,0.0192968,0.9976852
35,0.014747158472685243,1.0,0.015912669,1.0
36,0.011899843156894328,1.0,0.0152622545,0.9976852
37,0.010126304480704595,1.0,0.012106969,1.0
38,0.008677919270586466,1.0,0.0109361345,1.0
39,0.0075931157634356585,1.0,0.009191856,1.0
40,0.00668662835839728,1.0,0.008140876,1.0
41,0.005976523697367985,1.0,0.007969062,1.0
42,0.005420359249706188,1.0,0.0071636857,1.0
43,0.004957817108769896,1.0,0.006440886,1.0
44,0.004532492840139074,1.0,0.0055939397,1.0
45,0.004207592694496614,1.0,0.005271866,1.0
46,0.0038880056213551704,1.0,0.005027949,1.0
47,0.0036216611433540023,1.0,0.0046906294,1.0
48,0.0033885266169624614,1.0,0.0044402587,1.0
49,0.0031790711287376003,1.0,0.004204806,1.0
50,0.00299734698616095,1.0,0.0039591515,1.0
51,0.002829246627154468,1.0,0.0037821052,1.0
52,0.0026793664525546815,1.0,0.0035636087,1.0
53,0.0025376389562579414,1.0,0.0033222004,1.0
54,0.0024249869870289213,1.0,0.0032092566,1.0
55,0.0023061672816970576,1.0,0.0031273926,1.0
56,0.0022045364940935777,1.0,0.0029440792,1.0
57,0.0021128646992202077,1.0,0.0028402372,1.0
58,0.002025002940349865,1.0,0.0027530866,1.0
59,0.0019444935826292626,1.0,0.0026579818,1.0
60,0.0018708637948099732,1.0,0.00255519,1.0
61,0.0018007984550562329,1.0,0.002462397,1.0
62,0.0017337130839707737,1.0,0.0023590724,1.0
63,0.0016739350743075149,1.0,0.0022769293,1.0
64,0.0016177204130499862,1.0,0.0022152096,1.0
65,0.0015654094787087213,1.0,0.002148877,1.0
66,0.001515512685232917,1.0,0.002093277,1.0
67,0.0014684296978745037,1.0,0.0020220974,1.0
68,0.0014230347011677821,1.0,0.00194672,1.0
69,0.001381720443543449,1.0,0.0019112406,1.0
70,0.0013428322153548936,1.0,0.0018623141,1.0
71,0.001305722781424631,1.0,0.0018123226,1.0
72,0.0012693879406895081,1.0,0.0017742047,1.0
73,0.001236253635704341,1.0,0.0017288377,1.0
74,0.0012040787147249222,1.0,0.0016936079,1.0
75,0.001174138665950813,1.0,0.0016423655,1.0
76,0.0011447466322298014,1.0,0.0016057941,1.0
77,0.0011172152862962634,1.0,0.0015658332,1.0
78,0.0010894817088664503,1.0,0.0015204072,1.0
79,0.001065558713437857,1.0,0.0014897796,1.0
80,0.00104131773567122,1.0,0.0014598713,1.0
81,0.0010180249266028845,1.0,0.0014273359,1.0
82,0.0009959642238055284,1.0,0.0013978928,1.0
83,0.0009743524529315399,1.0,0.0013746473,1.0
84,0.0009538498280890914,1.0,0.0013521464,1.0
85,0.0009344412400848755,1.0,0.0013260185,1.0
86,0.0009153226055786945,1.0,0.0013049953,1.0
87,0.0008976590480743604,1.0,0.0012779669,1.0
88,0.0008801015356287619,1.0,0.0012524362,1.0
89,0.0008631178555726322,1.0,0.0012287532,1.0
90,0.0008470023999103625,1.0,0.0012047236,1.0
91,0.0008313085485357218,1.0,0.0011818528,1.0
92,0.0008162217638000692,1.0,0.0011615845,1.0
93,0.0008016210838552349,1.0,0.0011413135,1.0
94,0.0007872160225083705,1.0,0.0011162998,1.0
95,0.0007737314846651139,1.0,0.0010959305,1.0
96,0.0007606808972471261,1.0,0.0010794506,1.0
97,0.0007479436624624364,1.0,0.0010642484,1.0
98,0.0007355020118198088,1.0,0.0010466253,1.0
99,0.0007235809331694369,1.0,0.0010318969,1.0
