epoch,loss,BinaryAccuracy,MSE,Test_loss,Test_BinaryAccuracy,Test_MSE
0,0.25055161509357515,0.47540984,0.2505516,0.25008127,0.48842594,0.25008127
1,0.249923367725044,0.52459013,0.24992336,0.24956156,0.5439815,0.24956155
2,0.24923341880079175,0.5409836,0.24923342,0.24897137,0.5972222,0.24897137
3,0.24847779997059558,0.55737704,0.24847782,0.24828431,0.6435185,0.2482843
4,0.2476685706709252,0.6229508,0.24766856,0.24745709,0.6712963,0.24745709
5,0.2465637817246015,0.74590164,0.2465638,0.24647371,0.6759259,0.24647371
6,0.24532584406313349,0.6967213,0.24532585,0.2451499,0.7152778,0.24514991
7,0.24378058021185828,0.78688526,0.24378057,0.24347146,0.7476852,0.24347144
8,0.24176827757084957,0.8114754,0.24176827,0.2413474,0.7824074,0.24134739
9,0.2391592657468358,0.795082,0.23915926,0.2385602,0.8217593,0.2385602
10,0.23609543384098616,0.86885244,0.23609544,0.23513387,0.849537,0.2351339
11,0.23202839371610862,0.89344263,0.23202841,0.23103644,0.8680556,0.23103644
12,0.2273866619731559,0.91803277,0.22738667,0.22578593,0.8912037,0.22578593
13,0.22173884486565826,0.94262296,0.22173882,0.21965978,0.912037,0.21965976
14,0.21488121298492932,0.90983605,0.21488123,0.2126661,0.9189815,0.2126661
15,0.2073077068465655,0.91803277,0.20730771,0.20459387,0.9328704,0.20459387
16,0.19868829553244544,0.93442625,0.1986883,0.19524322,0.9444444,0.19524322
17,0.18949506737169672,0.92622954,0.18949506,0.1857731,0.9513889,0.18577309
18,0.1798599093663888,0.93442625,0.1798599,0.17484425,0.9537037,0.17484424
19,0.16995506122952603,0.92622954,0.16995504,0.16419457,0.9606481,0.16419457
20,0.1599424791629197,0.93442625,0.15994248,0.15388368,0.962963,0.1538837
21,0.1504342921200346,0.93442625,0.15043429,0.14339031,0.9699074,0.14339031
22,0.14144443683936947,0.93442625,0.14144446,0.13461135,0.9675926,0.13461135
23,0.13285096447731629,0.93442625,0.13285096,0.124619536,0.9722222,0.124619536
24,0.1251529984970073,0.93442625,0.12515299,0.11682731,0.9722222,0.11682731
25,0.11810016198480716,0.93442625,0.11810016,0.10835251,0.9722222,0.10835251
26,0.11140409863141716,0.93442625,0.1114041,0.101542905,0.9722222,0.101542905
27,0.10559480710596335,0.93442625,0.105594814,0.095669165,0.9722222,0.09566917
28,0.10039358598286988,0.93442625,0.10039359,0.089312255,0.9722222,0.089312255
29,0.09578447599635749,0.93442625,0.09578448,0.08421055,0.9722222,0.08421055
30,0.09171216892170124,0.93442625,0.09171216,0.07904215,0.9722222,0.07904215
31,0.08832696552739525,0.93442625,0.08832696,0.0753424,0.9722222,0.0753424
32,0.08501905416611766,0.93442625,0.08501906,0.071664184,0.9722222,0.071664184
33,0.08224717503199812,0.93442625,0.08224718,0.068823025,0.9722222,0.068823025
34,0.07972787810703282,0.93442625,0.07972787,0.06563187,0.9722222,0.06563187
35,0.07743347668256916,0.93442625,0.077433474,0.063103154,0.9722222,0.063103154
36,0.07558989972181496,0.93442625,0.0755899,0.06116693,0.9722222,0.061166935
37,0.07370019742272428,0.93442625,0.0737002,0.059074506,0.9722222,0.059074506
38,0.07221717825617457,0.93442625,0.07221718,0.057551507,0.9722222,0.05755151
39,0.07088049630955105,0.93442625,0.0708805,0.055980343,0.9722222,0.055980343
40,0.06967184480401825,0.93442625,0.06967185,0.054690786,0.9722222,0.054690782
41,0.06839249780798545,0.93442625,0.06839249,0.053820107,0.9722222,0.053820107
42,0.06731920910724362,0.93442625,0.06731921,0.0526299,0.9722222,0.052629896
43,0.06644139857199348,0.93442625,0.0664414,0.052240733,0.9722222,0.052240733
44,0.06565263504009755,0.93442625,0.06565264,0.050485354,0.9722222,0.050485354
45,0.06487406462766841,0.93442625,0.06487406,0.04977398,0.9722222,0.04977398
46,0.06395195340966714,0.93442625,0.063951954,0.049906034,0.9722222,0.04990603
47,0.06340588089918382,0.93442625,0.06340589,0.049290497,0.9722222,0.049290497
48,0.06278457738970575,0.93442625,0.06278458,0.04867098,0.9722222,0.04867098
49,0.0624166421905221,0.93442625,0.062416643,0.047832366,0.9722222,0.04783237
50,0.06168291867390031,0.93442625,0.06168292,0.04760705,0.9722222,0.047607053
51,0.061306925743367886,0.93442625,0.061306927,0.04645355,0.9722222,0.04645355
