epoch,loss,BinaryAccuracy,Val_loss,Val_BinaryAccuracy
0,0.2506058105537968,0.5322581,0.24614513,0.5856481
1,0.23975329581768282,0.61290324,0.23137511,0.6481481
2,0.20939653598132632,0.7096774,0.20842361,0.6944444
3,0.18336525362645906,0.7419355,0.19542465,0.7361111
4,0.16925453532472132,0.7822581,0.19152717,0.7291667
5,0.15679212337577594,0.7983871,0.19321421,0.7453704
6,0.15075646260295122,0.83064514,0.18523337,0.7430556
7,0.1422746319590407,0.8145161,0.18862905,0.7523148
8,0.13960709245950584,0.83064514,0.19216509,0.7453704
9,0.13648599348849647,0.83064514,0.18305549,0.7384259
10,0.13323352322350407,0.8548387,0.18989365,0.7453704
11,0.13476089399914454,0.83870965,0.18387161,0.7523148
12,0.12928168591409508,0.8467742,0.18212046,0.7476852
13,0.13330678636562115,0.83870965,0.18843725,0.7708333
14,0.12933272383182362,0.8548387,0.19602528,0.7685185
15,0.1256735619068833,0.87903225,0.18460818,0.7708333
16,0.1257409532333822,0.87903225,0.18346454,0.7893519
17,0.12204077394633187,0.88709676,0.18657137,0.7916667
18,0.11967095885354924,0.87903225,0.19214839,0.7800926
19,0.11975124966873761,0.8951613,0.17792994,0.8217593
20,0.11719776280804053,0.8951613,0.17794488,0.8217593
21,0.11688311392120546,0.87096775,0.17424189,0.8310185
22,0.11421463433984055,0.88709676,0.17336252,0.8310185
23,0.11362525905901895,0.8951613,0.17280483,0.8310185
24,0.11281869363436624,0.8951613,0.17163147,0.8333333
25,0.11147754584312826,0.8951613,0.17106703,0.8333333
26,0.11068765643739747,0.8951613,0.17147008,0.8333333
27,0.11030258994683649,0.8951613,0.17057508,0.8333333
28,0.10984066095026661,0.8951613,0.16831106,0.8333333
29,0.10863833834892214,0.8951613,0.1672779,0.8333333
30,0.10800762317848561,0.8951613,0.16701864,0.8333333
31,0.10823052035835469,0.8951613,0.16609357,0.8333333
32,0.10671716016276472,0.8951613,0.16508064,0.8333333
33,0.10690836283808289,0.8951613,0.16668452,0.8333333
34,0.10667896711487218,0.8951613,0.16160804,0.8333333
35,0.10638234777790727,0.8951613,0.15991938,0.8333333
36,0.10537115838382481,0.8951613,0.15692882,0.8333333
37,0.10404016128593925,0.8951613,0.16058972,0.8333333
38,0.10270237965036241,0.8951613,0.15374964,0.8333333
39,0.101571019750648,0.8951613,0.15315802,0.8310185
40,0.10117211763297511,0.8951613,0.15093943,0.8310185
41,0.0996160217342373,0.8951613,0.14068933,0.8333333
42,0.09779695474934845,0.8951613,0.13779165,0.8333333
43,0.09616822875998496,0.8951613,0.14582492,0.8263889
44,0.09441042290505251,0.9032258,0.134357,0.837963
45,0.09458297128667842,0.8951613,0.1338754,0.837963
46,0.09170207702294969,0.8951613,0.12648813,0.8842593
47,0.09072389680421022,0.9032258,0.12286047,0.8773148
48,0.08786518697244843,0.91129035,0.11975113,0.8819444
49,0.08472082987808635,0.91129035,0.115254894,0.8981481
50,0.08234286401630786,0.92741936,0.11206221,0.9027778
51,0.07920236100479146,0.92741936,0.10799829,0.9166667
52,0.078094368259113,0.9354839,0.10661177,0.9074074
